,N-Number,Registered
48,N438WN,2003-07-21
400,N68061,2002-03-08
646,N914UY,2014-11-07
901,N446UA,1998-07-02
1542,N18120,2005-02-25
1951,N353SW,1990-11-09
1991,N678AW,2005-06-29
2053,N68836,2014-10-13
2344,N16918,2001-03-09
2406,N121UW,2000-09-28
2642,N15980,1999-12-18
3542,N7744A,2013-08-12
3973,N17105,1994-08-18
4198,N7729A,2006-06-13
4515,N480WN,2004-08-25
5170,N147PQ,2007-10-31
5268,N483WN,2004-09-13
5272,N66837,2014-11-21
5290,N484WN,2004-09-22
5625,N13913,2001-05-26
5842,N486WN,2004-09-27
6085,N404UA,1994-01-26
6138,N103US,1999-06-25
6342,N643SW,1997-01-13
6365,N338NB,2002-03-09
6608,N491WN,2004-11-02
7049,N366NB,2003-08-30
7239,N492WN,2004-11-12
7298,N7819A,2015-07-08
7445,N489WN,2004-10-14
7461,N658AW,1999-12-06
7648,N374NW,2002-01-30
7808,N17159,2004-03-19
7883,N495WN,2004-12-22
7931,N705JB,2008-03-01
8085,N611SW,1995-09-12
8115,N961DL,1990-05-25
8251,N711UW,1999-06-25
8409,N357SW,1992-05-27
8509,N568WN,2014-12-05
9496,N389SW,1994-07-06
9699,N26545,2002-01-26
9718,N41104,2005-02-25
10244,N807AW,1999-08-30
10887,N589UA,1997-11-03
11157,N294JB,2008-06-25
11220,N908DL,1988-08-25
11519,N7821L,2015-06-04
11689,N17138,2005-02-25
11762,N296JB,2008-11-04
12387,N304JB,2009-03-17
12488,N306JB,2009-04-20
12705,N307JB,2009-06-04
13309,N597JB,2004-11-10
13466,N25705,1998-05-12
13868,N498UA,2002-11-20
14100,N923DN,2011-03-24
14788,N576AA,1991-06-25
15256,N374SW,1993-08-12
15358,N453WN,2004-03-29
15586,N39415,2008-02-13
15655,N583JB,2004-01-08
15921,N66841,2015-01-26
16060,N917DE,1993-08-19
16764,N24212,1998-06-30
17178,N465UA,2000-12-06
17246,N750UW,2000-09-28
17291,N937AT,2001-07-22
17838,N917UY,2015-01-22
17951,N190UW,2001-04-06
17969,N339NB,2002-04-30
19421,N69840,2015-01-23
19511,N68880,2015-04-23
19545,N349NB,2002-10-28
20709,N6709,2000-08-09
20941,N19136,1999-03-18
21489,N561WN,2015-07-30
21562,N454WN,2004-03-26
21810,N519UW,2009-04-24
21816,N748SW,1999-08-02
21941,N935DL,1989-03-19
22528,N362NB,2003-07-01
22702,N607JB,2005-02-25
22769,N66848,2015-03-27
22815,N7834A,2015-09-04
23222,N213WN,2005-05-26
23232,N223WN,2005-10-23
23963,N944DN,2013-02-17
24078,N455UA,1999-12-06
24148,N309JB,2009-06-09
24378,N920US,2015-02-28
24528,N976UY,2012-07-30
24621,N328NB,2001-07-12
24776,N68843,2015-02-06
24889,N206UA,1999-05-18
25104,N802AW,1999-01-04
25748,N917DL,1988-04-08
26131,N360NB,2003-05-29
26932,N389DA,2000-04-15
27203,N904DE,1992-05-01
27255,N652JB,2007-02-08
27282,N828JB,2013-08-16
27552,N402UA,1993-12-13
27688,N62883,2015-06-26
27885,N329JB,2011-05-03
27908,N632SW,1996-06-13
28006,N459WN,2004-04-29
28081,N61886,2015-07-28
28130,N334JB,2011-07-21
28178,N126UW,2009-12-23
28721,N339JB,2011-11-10
28727,N403UA,1994-01-26
28856,N67846,2015-02-23
28924,N351JB,2012-06-26
28980,N779JB,2009-03-12
29122,N34222,1998-12-07
29313,N11119,2005-02-25
29337,N353JB,2012-10-23
29543,N355JB,2013-04-23
29544,N410UA,1994-06-01
30100,N373JB,2013-05-24
30242,N7826B,2015-09-25
31304,N426WN,2002-04-15
31456,N918US,2015-02-04
31883,N13133,2005-02-25
31891,N712SW,1998-05-31
31947,N251WN,2006-08-17
32024,N922US,2015-04-11
32210,N810AW,1999-12-06
32301,N15751,2015-04-13
32451,N69847,2015-03-19
32880,N966DL,1990-12-01
32990,N556AA,1991-03-23
33101,N197JB,2006-02-08
33365,N718SW,1998-07-31
33590,N135EV,2009-04-30
33625,N507AY,2008-11-22
34090,N472AS,2015-04-09
34124,N561AA,1991-05-25
34271,N955UW,2008-02-26
34742,N256WN,2006-09-27
34833,N39728,1999-07-15
35046,N694SW,1992-12-17
35462,N646UA,1992-03-18
35662,N279WN,2007-06-11
36167,N11189,2005-08-11
36268,N962WN,2011-07-27
36282,N968WN,2011-12-16
37531,N924US,2015-05-02
37853,N397SW,1995-02-15
38728,N292WN,2007-09-14
40541,N723SW,1999-02-10
41645,N571AA,1987-07-16
42186,N371CA,2003-01-31
43262,N61881,2015-05-05
43651,N27213,1998-07-13
43886,N216JB,2006-04-27
44308,N725SW,1999-02-22
46470,N7830A,2015-05-25
46568,N78009,1999-04-20
46878,N283WN,2007-07-16
47147,N937WN,2009-06-02
47874,N38459,2012-10-23
47888,N581AA,1991-07-25
47921,N61882,2015-05-28
48227,N17752,2015-06-12
48314,N664UA,1998-06-29
48368,N954DL,1990-03-19
48597,N925UY,2015-06-02
48928,N927UW,2015-06-04
49061,N926UW,2015-06-05
49516,N12221,1998-11-29
49954,N13908,2001-07-14
50040,N630WN,1996-06-05
51560,N716EV,2003-01-31
52283,N232PQ,2009-04-30
54413,N739GB,1998-11-11
54814,N365SW,1993-02-17
55067,N837AW,2005-11-05
55826,N391SW,1994-09-01
56370,N832UA,2000-10-16
56503,N14106,1994-09-22
56524,N854UA,2002-06-26
57060,N603JB,2005-01-13
57111,N605JB,2005-02-11
57276,N724SW,1999-02-13
57691,N69885,2015-07-16
57916,N478AS,2015-07-13
57960,N615JB,2005-07-21
58023,N618JB,2005-07-21
58437,N62889,2015-09-04
59221,N475WN,2004-07-31
59281,N12126,2005-02-25
59321,N976DL,1991-04-09
59450,N726SW,1999-02-24
60825,N8328A,2012-12-13
60848,N14731,1999-08-17
60986,N281JB,2007-09-19
61291,N7823A,2015-06-29
61561,N708UW,1999-04-26
62365,N649JB,2006-12-07
62396,N16183,2005-05-20
62470,N775UA,1996-01-22
62510,N505AA,1989-11-06
62982,N469AA,1988-09-16
63376,N35271,2001-10-18
63600,N633VA,2007-09-14
64167,N69888,2015-08-23
64330,N981AT,2002-11-22
64852,N170US,2001-06-05
65778,N558UW,2012-09-05
66732,N13989,2000-06-29
67461,N644UA,1991-05-17
67880,N630JB,2005-12-23
67978,N741SA,1998-11-30
68171,N17719,1999-02-03
68177,N743SW,1998-12-23
68752,N573AA,1991-05-29
68884,N188US,2002-05-31
69070,N104UW,1999-08-30
69255,N556AS,2006-06-28
70590,N638VA,2008-05-10
71114,N740EV,2004-07-14
71168,N929AT,2000-09-15
71557,N171US,2001-05-11
71569,N746SW,1999-06-17
71877,N17104,1994-07-26
72292,N555LV,2011-03-16
72398,N556WN,2011-04-08
72687,N452UA,1999-03-15
72984,N638JB,2006-06-15
73019,N351NB,2002-11-20
73098,N784JB,2011-02-11
73234,N643JB,2006-09-08
73481,N7708E,2005-01-04
73529,N274WN,2007-04-20
73600,N45440,2009-08-18
73702,N14242,1999-10-22
74207,N760US,2000-12-06
74480,N346JB,2012-01-25
74937,N529JB,2002-01-14
75366,N36447,2012-02-09
75552,N39450,2012-03-30
75602,N38451,2012-04-10
75649,N68452,2012-05-07
75812,N420UA,1995-01-12
75860,N488WN,2004-10-13
75929,N809JB,2012-11-08
76079,N496WN,2005-01-04
76379,N287WN,2007-08-08
76735,N666UA,1998-08-24
76895,N668UA,1999-03-14
77185,N671UA,1999-09-23
77217,N74007,1999-02-17
77379,N732SW,1999-07-13
77590,N78008,1999-02-28
78553,N516JB,2000-10-16
79140,N708EV,2002-10-23
79470,N37267,2001-09-02
79479,N13997,2000-08-18
79586,N110UW,2001-08-07
79885,N823UA,1999-02-26
80378,N75436,2009-06-23
81456,N314NB,2000-04-03
81996,N900DE,1992-02-22
82392,N893AT,2004-10-13
82411,N479UA,2001-12-19
82412,N21723,1999-04-21
82579,N819UA,1998-11-09
82650,N820UA,1998-11-23
82775,N754SW,1999-11-09
83626,N899AT,2005-04-25
83801,N751EV,2004-09-17
84286,N655JB,2007-03-23
84572,N537UA,1991-07-18
84633,N10156,2004-02-15
84774,N844UA,2002-01-23
84906,N16149,2003-10-11
85094,N846UA,2002-01-15
85422,N724UW,1999-12-06
85425,N36272,2001-10-25
86440,N662JB,2007-10-04
86623,N663JB,2007-10-26
86679,N748EV,2004-07-30
86734,N665JB,2007-12-14
86933,N617DL,1986-05-14
87322,N333NB,2001-12-03
87956,N77867,2002-04-01
89218,N261WN,2006-12-13
89522,N7707C,2004-12-22
89661,N316US,1991-06-24
89988,N498WN,2005-01-17
90036,N499WN,2005-01-23
90123,N200WN,2005-01-24
90130,N201LV,2005-02-15
90328,N703JB,2008-01-31
90453,N205WN,2005-03-14
90473,N207WN,2005-03-24
90759,N211WN,2005-04-29
91201,N750SA,1999-09-08
91271,N568AS,2007-01-25
91375,N14214,1998-07-23
91602,N22971,1999-07-03
92198,N7736A,2014-06-19
92573,N521JB,2001-05-11
93011,N111US,1999-12-27
93036,N7711N,2005-04-08
93104,N7720F,2006-01-10
93414,N39423,2008-06-27
93461,N79011,1999-06-29
93745,N903DE,1992-03-27
93780,N78013,1999-09-13
93794,N193UW,2008-07-18
93920,N571JB,2003-12-09
93934,N27421,2008-04-21
94154,N947AT,1999-12-04
94906,N919EV,2003-04-09
94940,N14102,1997-06-13
95017,N469WN,2004-06-22
95203,N372NW,2002-01-14
95692,N756SA,1999-12-03
96096,N612JB,2005-05-27
96463,N998DL,1992-01-30
96938,N779SW,2000-08-04
97010,N355SW,1991-08-06
97402,N234WN,2006-03-24
98350,N7743B,2014-06-27
98755,N7746C,2007-06-14
98758,N601WN,1995-03-10
98890,N906DE,1992-10-07
99374,N753EV,2004-10-01
99572,N16561,2002-06-29
99574,N714CB,1998-06-19
99639,N632JB,2006-01-12
100076,N815UA,1998-08-24
100334,N904WN,2008-01-11
100589,N909DE,1992-11-10
100947,N510UA,1990-06-13
101170,N933WN,2009-04-07
101178,N12924,2000-09-24
101217,N441UA,1998-01-06
101282,N27962,1999-02-06
101326,N805UA,1998-02-13
101334,N961WN,2011-07-26
101427,N569AS,2007-03-04
101443,N426UA,1995-04-10
101444,N428UA,1995-05-19
101456,N125UW,2009-11-10
101490,N226WN,2005-11-30
101509,N437UA,1996-04-15
101515,N438UA,1997-07-07
101532,N447UA,1998-08-03
101547,N456UA,1999-12-27
101548,N457UA,2000-02-16
101580,N399WN,1995-02-23
101583,N540UW,2009-12-11
101731,N419UA,1994-10-31
101925,N597AA,1992-06-24
102248,N470UA,2001-04-06
102293,N16147,2003-09-11
102333,N632VA,2007-06-13
102416,N645JB,2006-10-06
102436,N927DA,1988-10-20
102468,N586JB,2004-02-18
102508,N523JB,2001-07-24
102593,N13113,1995-04-07
102754,N436WN,2003-06-26
102792,N36915,2001-04-25
102882,N17244,1999-11-01
102984,N12157,2004-02-21
103153,N575AA,1963-03-06
103524,N716SW,1998-06-30
103563,N66057,2002-01-04
103655,N569JB,2003-09-30
103677,N579JB,2003-12-09
103793,N584JB,2004-01-15
103849,N439WN,2003-07-29
103876,N907DE,1992-10-14
103877,N492UA,2002-05-16
104091,N602AW,2009-05-05
104127,N915DE,1993-02-27
104248,N968DL,1991-01-09
104424,N802UA,1997-07-07
104676,N599JB,2004-12-30
104723,N524JB,2001-12-19
104742,N364NB,2003-08-07
104815,N929DL,1988-11-09
104938,N930DL,1988-11-09
104954,N803AW,1999-01-04
105017,N496AA,1989-08-08
105215,N439AA,1993-03-19
105217,N488AA,1989-01-20
105218,N494AA,1989-02-14
105265,N916EV,2003-03-13
105278,N969DL,1991-01-17
105310,N7716A,2005-10-06
105711,N948DN,2013-05-23
106223,N622VA,2007-06-26
106254,N37263,2001-07-30
106342,N370SW,1993-07-02
106477,N243WN,2006-06-17
106510,N522UA,1990-10-19
106945,N918DE,1993-09-14
107045,N307DQ,2009-01-18
107219,N970DL,1991-01-18
107447,N332NW,1992-06-22
107499,N17169,2004-09-02
107536,N153PQ,2007-12-19
107936,N682DA,1993-01-15
108280,N10575,2002-09-28
108369,N521VA,2006-05-16
108459,N895AT,2005-01-20
108987,N919DE,1993-10-08
109100,N435AS,2013-10-28
109283,N582CA,2008-04-10
